tag	description
"bestpractice"	"Participant calls out a best practice with Git/GHP, or mentions a best practice"
"communication"	"Participant mentions the use of Git/GHP as a medium to communicate with other people"
"conflict-burn-repo"	"When the participant runs into an error, they resort to deleting the entire repo and then recloning instead of addressing the existing error message"
"emotion"	"This is the parent code to be used when the participant expresses any sentiment or emotion while performing a task, talking about the process, a feature, Git, workflow, etc."
"emotion-anger"	"Participant expresses feelings of wrath, rage, intense discomfort, hurt, frustrated, or threatened in the situation"
"emotion-aware"	"Participant expresses understanding that something exists"
"emotion-unaware"	"Participant does not understand that something exists"
"emotion-certain"	"Participant expresses positive, fixed, not doubt in the situation"
"emotion-closed"	"Participant expresses need for privacy, unopen, obstructed, intruded upon, secret"
"emotion-confused"	"Participant does not understand the how, why, and/or what in the situation"
"emotion-determined"	"Participant expresses motivation, ability, driven, ambitious, ready in the situation"
"emotion-excited"	"Participant expresses eagerness, aroused emotional state, thrilled in the situation"
"emotion-forgetful"	"Participant does not remember / know what is needed in the situation "
"emotion-hateful"	"Participant expresses dislike, repelled by, of unapproving in the situation"
"emotion-helpful"	"Participant expresses supportive, useful, valuable, productive in the situation"
"emotion-hinder"	"Participant expresses delays, impediments, blockages, deterrence, held back in the situation"
"emotion-open"	"Participant expresses ideas of public nature, availability, sharing in the situation"
"emotion-overloaded"	"Participant mentions sentiments related to being overwhelmed, overburdened, too much in the situation"
"emotion-sensitive"	"Participant expresses politeness, conscious, perceptive and receptive in the situation"
"emotion-trust"	"Participant expresses confidence, hope, assurance in the situation"
"emotion-uncertain"	"Participant expresses unknowing, ambiguity, ambivalence, doubtful in the situation"
"resource-external"	"Participant mentions a guide or reference that is created by someone else (e.g. Google, Stack Overflow, etc.)"
"ghp"	"Participant mentions a Git hosting platform"
"gui"	"Participant mentions a graphical user interface (e.g. GitHub Desktop)"
"hack"	"Participant mentions using a feature on Git or GHP differently than it's initial intended (created) purpose"
"ide"	"Participant mentions an integrated development environment (e.g. Pycharm, RStudio, etc.)"
"resource-internal"	"Participant mentions a guide or reference that is created by themself (e.g. DIY cheat sheet) or by their immediate team members (e.g. organizational internal documentation)"
"learning"	"Participant mentions a moment in learning Git/GHP"
"mentalmodel"	"Participant mentions the idea of a Git/GHP mental model (i.e. Git's infrastructure, system as a whole entity)"
"mentalmodel-no"	"Participant mentions there is NO Git/GHP mental model (i.e. Git's infrastructure, system as a whole entity)"
"mentalmodel-project"	"Participant mentions the idea of project-based learning in order to gain an understanding of the Git/GHP mental model (i.e. Git's infrastructure, system as a whole entity)"
"mentalmodel-yes"	"Participant mentions there IS Git/GHP mental model (i.e. Git's infrastructure, system as a whole entity)"
"popularity"	"Participant mentions how Git/GHP has level(s) of popularity, wide usage among the people and programs they are interested in"
"project-mgmt"	"Participant mentions Git/GHP as a tool for project managment"
"security"	"Participant mentions the idea of safety and protection in the context of Git/GHP "
"teaching-effective"	"Participant mentions a teaching technique about Git that is/was effective"
"teaching-ineffective"	"Participant mentions a teaching technique about Git that is/was ineffective"
"terminal"	"Participant mentions the use of terminal/text editor to interface with Git/GHP"
"terminology"	"Participant mentions the idea of Git/GHP terminology, language "
"tools-workflow"	"Participant mentions Git/GHP as tool within their scholarly workflow"
"ux-changing"	"Participant mentions the interface/experience with Git/GHP is updated, changed"
"ux-intuitive"	"Participant mentions the interface/experience with Git/GHP is intuitive"
"ux-unintuitive"	"Participant mentions the interface/experience with Git/GHP is not intuitive"
"vcs"	"Any mention of other version control systems"
"vcs-experienced"	"Participant has had experience with version control systems that are not Git"
"vcs-inexperienced"	"Participant has had no experience with version control systems that are not Git"
"wishlist"	"Participant expresses needs, wishes, desires for Git to be updated in order to serve their academic needs"
"workflow"	"Participant mentions how Git plays a role in their general workflow"
"workflow-collab"	"Participant mentions how Git plays a role in their collaborative workflow with other people, in a team setting"
"emotion-unmotivated"	"Participant feels apathetic, uninteresting, or not excited towards something"
"emotion-expecting"	"Participant has expectations, or assumptions, in the system, of collaborators, or within the workflow"
"emotion-annoyed"	"Participant expresses being bothered by a situation, tool, or scenario"
"task-complete"	"Participant completes a scenario posed by the interviewer"
"task-incomplete"	"Participant does not complete a scenario posed by the interviewer"
"task-stuck"	"Participant is stuck in the middle of trying to complete a scenario posed by the interviewer"
"emotion-distrust"	"Participant expresses issues with trusting the platform features, the company, the workflow, or belief in collaborators"
"emotion-apathetic"	"Participant does not express any emotion one way or the other"
"emotion-like"	"Participant expresses general positive favor towards a thing or situation"
