Scenario1ValueResponse	Scenario1ValueCode	Scenario2ValueResponse	Scenario2ValueCode	Scenario3ValueResponse	Scenario3ValueCode	Scenario4ValueResponse	Scenario4ValueCode	Scenario5ValueResponse	Scenario5ValueCode	Scenario6ValueResponse	Scenario6ValueCode
"Stewardship"	"validity"	"Honesty/Non-Deception"	"Transparency"	"Stewardship"	"validity"	"These scenarios are so bad.  There's not enough information here to respond, again. Not enough said about the analysis, aggregation, etc.  Just can't get any decent results from this survey at all."	"NA"	"This is so ridiculous, on its face. Students don't drive the research questions, and if they did, this would have to have come from the immigrant student group to even be considered. They way this is written, it sounds like an attack on a population, which no one would consider doing. Research should include a variety of resources, but a decision making body needs to be in place for oversight."	"NA"	"This is just laziness.  Another bad scenario. No librarian who thought this work was important would stop because they couldn't do outreach."	"NA"
"This is such a loaded scenario that anything you get from these items is spurious. You've poisoned the rest of the questions with your word choice, assumptions, etc. in this section."	"NA"	"This is another terrible scenario. This time not so much loaded with only one perspective, but not enough information included. Nothing about vendor contracts, nothing about confidentiality protections. Another scenario that you can't do anything with the results without revealing the bias of the scenarios."	"NA"	"Another bad scenario with bias cooked in. Presence in libraries isn't related to retention in the literature...at least not at this point. What are they going to do, make everyone walk in and out of the doors?  This is another problem with your scenario...knowing students go into a building isn't a privacy breach necessarily, but it has nothing to do with retention. Reveals lack of understanding of this area of research."	"NA"	"Centering our classification and subject analyses in person-first language that does not diminish the inherent worth and dignity of every person is an expression of the central tenet of my personal values. I would point to the APA's adoption of person-first language in their latest style manual as another example of a scholarly society's pursuit of this value."	"Positionality"	"Collaboration"	"collaboration"	"Grit"	"validity"
"Accountability"	"operability"	"Transparency"	"Transparency"	"none"	"None"	"Abolition"	"Positionality"	"Consent"	"transparency"	"Inclusion"	"Justice"
"While I agree that reducing education to dollars is an incomplete way of looking at the situation, I recognize that stakeholders have different languages that speak to them.  One job of the library is to speak in ways that audiences can understand and appreciate.  If dollars and cents communicates to administration, then that is better than a message that not address their viewpoint at all."	"alignment"	"Disclosure/consent"	"Transparency"	"Consent/Disclosure,  Beneficence  (i.e. risk is not justified by outcomes), Justice "	"Justice"	"Shared decision-making"	"collaboration"	"Legal requirements about working with immigrant status data."	"Alignment"	"Legal requirements to provide equal access to all."	"alignment"
"Institutional values"	"alignment"	"Transparency"	"Transparency"	"Less-is-more"	"validity"	"acknowledging the *lack* of neutrality in libraries"	"Positionality"	"Maintaining privacy of those surveyed"	"none/core value"	"Legality"	"alignment"
"N/A"	"NA"	"Legality"	"Alignment"	"good match between research question and data being analyzed"	"validity"	"Recognizing that \"neutrality\" is an illusory and impossible position to have"	"Positionality"	"fairness, social justice "	"justice"	"Inclusion"	"Justice"
"Accuracy"	"validity"	"Resource mobilization"	"validity"	"fairness"	"justice"	"fairness. equity, justice"	"Justice"	"NON DISCRIMINATION"	"justice"	"COMMUNITY INVOLVEMENT"	"collaboration"
"Relevance"	"validity"	""	""	""	""	""	""	""	""	""	""
"not liking neoliberalist approaches to education? :)"	"imagining otherwise"	"Integrity"	"validity"	"SENSETIZING OF LIBRARY USERS"	"Justice"	"RESEARCH ORIENTED"	"validity"	"Integrity, Quality"	"validity"	"Integrity, Care, Compassion, Quality/Excellence"	"Beneficence"
"Anticapitalism, working against the slog of data as the sole value indicator."	"imagining otherwise"	"omg holy s*** no no no no no this is a terrible idea. not supporting surveillance, not supporting corporate surveillance in particular, lack of consent (though i don't think consent would make it okay either) "	"Transparency"	"Integrity"	"validity"	"eliminating bias that's already in the system"	""	"support for student intellectual inquiry, assessment as a way to improve services"	"human-centered"	"inclusivity and generally not being a jerk"	"Justice"
