Value	Code1	Code2	Code3	CodedTheme	Count
"Access"	"access"	"access"	"access"	"Justice"	19.0
"We strive to provide effective, efficient, and permanent access to the library's resources while embracing the principles of open access, fair use, and intellectual freedom."	"access"	"access"	"access"	"ALA Core Value"	15.0
"Support open access to knowledge"	"open"	"access"	"access"	"Validity"	14.0
"accessible"	"access"	"access"	"access"	"Collaboration"	12.0
"accountability"	"accountability"	"accountability"	"accountability"	"Imagining Otherwise"	12.0
"Flexibility"	"adaptability"	"adaptability"	"imagining otherwise"	"Human-centered"	6.0
"We support rigorous scholarship and critical thinking by embracing the core professional values of librarianship, academic museum practice and university press publishing, including intellectual freedom, inclusion, privacy of users and social responsibility."	"alignment"	"alignment"	"alignment"	"Communication and Outreach"	5.0
"Align with parent organization's initiatives"	"alignment"	"alignment"	"alignment"	"Alignment"	3.0
"align with parent institutional values"	"alignment"	"alignment"	"alignment"	"Transparency"	3.0
"Stewardship"	"data stewardship"	"data stewardship"	"Validity"	"Positionality"	2.0
"Collect, manage, analyze and report data pertaining to library service delivery and library value."	"data stewardship"	"data stewardship"	"Validity"	"Accountability"	1.0
"Encourage the use of data by librarians to continually plan and deliver improved resources and services to library patrons."	"actionability"	"methodological soundness"	"Validity"	""	
"Produces and promotes innovative, creative, user-friendly, trustworthy, and timely products."	"best practices"	"best practices"	"Validity"	"Other: Faith"	1.0
"Helps all library units tell their stories and promote their services. Finds and presents relevant data in the most valid and effective ways."	"methodological soundness"	"methodological soundness"	"Validity"	"Other: Wisdom"	1.0
"Leverage assessment and feedback"	"actionability"	"methodological soundness"	"Validity"	"Other: Leadership"	1.0
"Credibility, authority, and reliability"	"methodological soundness"	"methodological soundness"	"Validity"	""	
"Research"	"research"	"methodological soundness"	"Validity"	""	
"trust"	"trust"	"methodological soundness"	"Validity"	""	
"leverages exisitng data"	"data stewardship"	"data stewardship"	"Validity"	""	
"informs"	"actionability"	"methodological soundness"	"Validity"	""	
"impacts end users by providing decision-makers timely, quality data they can trust."	"actionability"	"methodological soundness"	"Validity"	""	
"Integrity"	"best practices"	"methodological soundness"	"Validity"	""	
"Collaboration"	"collaboration"	"collaboration"	"collaboration"	""	
"Serve as consultants for assessment projects."	"consultation"	"collaboration"	"collaboration"	""	
"We engage in meaningful partnerships both internally and externally."	"collaboration"	"collaboration"	"collaboration"	""	
"Create and foster partnerships"	"collaboration"	"collaboration"	"collaboration"	""	
"Empower staff and coordinate efforts"	"best practices"	"collaboration"	"collaboration"	""	
"Partnerships with other academic units"	"collaboration"	"collaboration"	"collaboration"	""	
"teamwork"	"collaboration"	"collaboration"	"collaboration"	""	
