Synthesized	Definition	Example
"collaboration"	"Mentions working with others while using Git or GHP"	"Although when I’m sharing code with my professors and advisors, they typically just email it to me, [laughs] which is kind of annoying because then I have to like email them back stuff that I changed but yeah."
"proficiency"	"Proficiency with Git or GHP. A self-evaluation or judgement on how the participants perceives their level(s) in understanding how to use Git/GHP"	"Although I already used a little bit, but I’m not very familiar with it so I think I should make it comfortable for me to use it, when I’m developing software and make version control"
"proficiency_explaining"	"Mentions how they would teach or onboard others to use Git or GHP, relative to their self-proficiency of Git or GHP, in general"	""
"file-org"	"Mentions Git or GHP as file organization system"	"Yeah, I’m the same way and just like folders and folders. So it’s typically by year and then by class and then like by week. If I’m doing different readings."
"gap"	"Mentions a gap (something missing or a barrier-to-use) with Git or GHP"	"I mean, I really like I really like Overleaf in terms of like co-editing and being able to all write at the same time. But you can’t do like suggestions or like track changes the same way that you can do in Word. And even Google Docs, like there’s suggestions [21:38] is kind of frustrating at times. So yeah, I guess something that’s better about tracking changes so you know, what’s actually happening to your document would be my wish."
"gap_confusing-terminology"	"Git or GHP uses words and syntax that does not make sense, making it confusing to use"	"I’m looking for maybe an other platforms or easy to understand and not to use your words like the pull options"
"gap_interested-questioning"	"Participant is interested in Git or GHP but questions the use of tool; questioning if it's worth incorporating into their workflow"	"GitHub is fine, but I’m constantly looking for other websites or other tools to find the source of the code"
"gap_confuse-cli"	"Participant confuses command line interface (CLI) with Git or GHP"	"how you direct your paths to different directory and it’s comes quite handy and every process will be very efficient"
"gap_tools-overload"	"There are too many tools to use to support scholarly workflows. Git and GHPs being one of the many tools to learn and figure out how to integrate into daily use"	"I’m with other tool like maybe just use Jupyter Notebook to develop Python [35:44] and then I’ll put my code on GitHub to make sure I know what I changed for each. [36:03] I mean, I just, lazy to use it. [laughs] I think I can use other tools and it’s enough for me right now. [36:13] Yeah, if it’s not necessary, I am just lazy to use Git."
"gap_needs-improvement"	"Features of Git or GHP needs to be improved"	"talked about using Slack, so maybe having an option there to chat with your team within the same tool so you, you have the team in the same page and you have the comments there that you share with others"
"gap_too-much"	"Git or GHP has too many functionalities"	"I’m with other tool like maybe just use Jupyter Notebook to develop Python [35:44] and then I’ll put my code on GitHub to make sure I know what I changed for each. [36:03] I mean, I just, lazy to use it. [laughs] I think I can use other tools and it’s enough for me right now. [36:13] Yeah, if it’s not necessary, I am just lazy to use Git."
"position"	"Stance or attitude towards Git or GHP, in general"	""
"position-mixed"	"Feelings towards Git or GHP are both positive and negative"	"I want to use it, but I don’t feel that confident to use it yet"
"position-support"	"Feelings towards Git or GHP is mostly or fully in favor of the tools"	"I find out that that GitHub was a good source to get like references on how to do certain things that I needed to do"
"position-opposed"	"Feelings towards Git or GHP is mostly or fully against the tools"	"my professors are not require us to use the GitHub, they say it’s kind of complicated to talk about, I don’t know, why they just ask us to send them a screenshot like like what I asked my supervisor."
"ghp-use"	"Describes the ways GHP can be used, in general"	""
"ghp-use_backup"	"GHP can be used as a back up (archive) system"	"you can create a directory on your desktop or somewhere and it’s like a folder locally on your computer, but every time you throw some document in this folder, it will automatically update on cloud, so it’s pretty convenient"
"ghp-use_project-mgmt"	"GHP can be used to manage project stages (e.g. project management, status)"	"how the process look like how I make changes each steps and yeah so, I think I like once now I get to know with git, I think it’s a really useful to keep track of in research or project progress"
"ghp-use_publishing"	"GHP can be used to publicly publish work "	""
"ghp-use_code-annotation"	"GHP can be used to annotate code and reference annotations"	"make sure that the code is annotated because when you have a team working. I mean, sometimes when I go over my own code I’m struggling, like, okay, what was I trying to do here"
"ghp-use_sharing"	"GHP can be used to share code, files, other digital objects"	"Professor require us to download some files from GitHub so that is kind of an important source to our homework."
"ghp-use_discovery"	"GHP is a platform that benefits community building, accessing community, and discovering projects and source code "	"GitHub is a great tool to introduce the projects you have done. Like some of my friends, I checked their LinkedIn and just post their GitHub [inaudible] link into their LinkedIn profile. So everyone can, I mean, every recruiter can see their results from the projects they have done"
"ghp-use_version-control"	"GHP can be used for version control of source code"	"when you are working in teams. I think that being able to track the changes that everyone is making is something that is really relevant"
"ideal-change"	"Participants express exemplary feature update for Git or GHP in order to make it more usable"	"Every time I press Command “S” to save something it automatically uploads my work."
"learning-motive"	"Participants' motivations to learn Git or GHP, in general"	""
"learning-motive_req"	"Participant was required to learn Git or GHP"	"And for me, I am a computer science minor from undergrad, so I was kind of required. That’s how we turned in assignments for our intro to coding, Intro to Java course. So yeah, so from the very first time I’ve been doing coding is was just kind of ingrained in the system of how you manage your code in your projects and things like that."
"learning-motive_job"	"Participant believes Git or GHP could benefit job prospects"	""
"learning-motive_bestpracs"	"Participants learned to use Git or GHP in order to learn others' best practices"	"My use of Git has been more of like my interest stems from my increasing interest in coding and reproducibility"
"learing-method"	"Methodology in learning Git or GHP, in general"	""
"learing-method_collabs"	"Collaborating with colleagues and/or peers led to learning Git or GHP"	"My lab did like, some people from my lab, did a little tutorial on it. I didn’t really get it."
"learing-method_creditclass"	"Participant attended a for-credit course that included learning Git or GHP as a part of the curriculum"	"I think we had like one lab on it at the very beginning of our class just to be like this is how you turn in your assignments."
"learing-method_libclass"	"Participant attended a library class that taught how to use Git or GHP"	"But it wasn’t until, I want say, I want to say it wasn’t until graduate school that they really like went through and explained exactly what was happening when I went to some of the library, the different library classes."
"learing-method_self-taught"	"Participant taught themselves how to use Git or GHP through online resources, videos, books, etc."	"When I was like learning the web, internet, on my own, and I think, whenever I was looking at those description, I’m hard to understand what they are talking about."
"expectation"	"Participant expresses what they assume will happen in learning or using Git or GHP "	"Once I know the basic Git commands, then the rest will be intuitive"
"local-use"	"Mentions using Git or GHP, locally. Not on the web browser"	""
"local-use_gui"	"Mentions GitHub desktop, GitKraken, R Studio, or any other local graphical user interface (GUI) tool to interact with features of Git"	"it’s all been like through RStudio’s Git interface. So they have that tab where you can load in, or you can do all of your Git stuff through RStudio itself."
"local-use_terminal"	"Mentions using Git or GHP on the terminal. This includes command line interface (CLI)"	"But otherwise primarily, I do it through the terminal for the most part. If I’m just using like local repositories on my own machine, I’ll just access those through the terminal."
"ux"	"Mentions anything about the user experience (UX) of Git or GHP. I.e. accessibility of interface"	"it has a really nice user interface"
"workflow"	"Describes the workflow or process of using Git or GHP"	"But it’s like figuring out how to prioritize, like do I try to learn Python? Or, you know, do I try to like enhance my R skills, or my MATLAB skills, or do I prioritize Github? [30:57] And like, Github, is kind of taken the back burner while I really grasp other stuff, but I know it will be important in the future too."
"workflow_interoperability"	"Mentions the interoperability of other tools with or without Git or GHP"	"I’m not really into GitHub, but yeah I still want to know like how kind of combine my work. I mean based on GitHub, so how can I establish a connection between my homework, our projects, and the GitHub"
